id,created_at,text,likes,in reply to,retweeted
1247182338678636544,2020-04-06 15:20:15,"RT @AcmIgdtuw: The wait is over! 

Presenting the schedule for Advaya 2020, by the ACM Student Chapter!
Aap Chronology Samajhiye😎

Registra…",0,,True
1246826815491956736,2020-04-05 15:47:32,"RT @AcmIgdtuw: Corona me kuch to karo naa! 
 
True, that this lockdown has limited our roaming abilities and has inhibited us from going to…",0,,True
1244462498960400384,2020-03-30 03:12:35,@RailsGirlsSoC Okay. Thanks a lot.,0,RailsGirlsSoC,False
1244346589985918976,2020-03-29 19:32:00,"@RailsGirlsSoC I have a doubt related to the RGSOC application. Here is a question, ""what you want to achieve by th… https://t.co/B6nhpESRn8",0,RailsGirlsSoC,False
1235640907287814144,2020-03-05 18:58:44,@PREMCHA52276341 @SSeidmedova @outreachy Thanks @PREMCHA52276341. But it's just initial application! The bigger par… https://t.co/0GVjFBxoIy,0,prem1781999,False
1235612785804865541,2020-03-05 17:06:59,@SSeidmedova @outreachy Oh Yes! Our application got approved! Congratulations :),0,SSeidmedova,False
1235598536378478593,2020-03-05 16:10:22,@outreachy It is showing 'A contribution is required',0,outreachy,False
1231212824560574469,2020-02-22 13:43:06,"RT @AcmIgdtuw: ACM IGDTUW Presents The First-Ever, Week Long Inter-Departmental, Technical Fest ""Advaya"", From 16 to 20 March 2020

Join Us…",0,,True
1230503465333469184,2020-02-20 14:44:22,"RT @AcmIgdtuw: ACM IGDTUW Team Recruitment 2020

ACM IGDTUW is recruiting members for the year 2020
Interviews will be held on  21 February…",0,,True
1229698514977869824,2020-02-18 09:25:47,This is so cool! https://t.co/9LS7Pe8fy2,1,,False
1229670559006568448,2020-02-18 07:34:42,@Codechef_igdtuw https://t.co/nrBOuGkyPl,1,Codechef_igdtuw,False
1229669807672479745,2020-02-18 07:31:42,CodeChef got a new treat for me in IGDTUW_CodeIn https://t.co/LUw3vpc5hu via @codechef,1,,False
1218927266165448704,2020-01-19 16:04:41,"Want the ultimate guide to learn React in 2020? 🔥⚛️

Snag this massive cheatsheet that covers everything you need t… https://t.co/PzlkXJ9pbz",5,,False
1216718616432791552,2020-01-13 13:48:18,"RT @WWCode_Delhi: Hey everyone!
So the wait is finally over, we are now accepting mentee applications for the Mentorship program 2.0.

This…",0,,True
1185502823267614721,2019-10-19 10:27:53,"Team : semicolon :)
Track: Tech Education
#gsindiasummit #microsoft https://t.co/PFeT0SNdfG",21,,False
1181949916945367040,2019-10-09 15:09:54,"RT @Innerveigdtuw: It gives us immense pleasure to announce our official presenter, Mr GD Sayal. 
Grab your passes at https://t.co/f8qhtvNN…",0,,True
1181512076222582785,2019-10-08 10:10:05,"RT @Innerveigdtuw: With only three days remaining for one of the biggest tech fests in Delhi, the excitement and anticipation are brimming…",0,,True
1181471215484956678,2019-10-08 07:27:43,RT @_taarangana: Today marks the day when Lord Rama demolished the evil empire of Ravana to sow the seed of good. Today is the day of conqu…,0,,True
1181259366613147648,2019-10-07 17:25:54,RT @Innerveigdtuw: Innerve is dying to see your hidden talent and laud you for your grace. We thereby invite you for openmic. Only the firs…,0,,True
1178924765827911680,2019-10-01 06:49:02,"RT @Innerveigdtuw: Innerve’19 brings to you MINI-VEGAS, a set of games which will present you with the opportunity to test your preparation…",0,,True
1178531145094332416,2019-09-30 04:44:55,"RT @rajpal_saurabh: Haanji.. kis Ko schwag mil Gaya?!

#DevFest #DevFest19 https://t.co/a2oUr03Fyw",0,,True
1176905067221274624,2019-09-25 17:03:28,"RT @Innerveigdtuw: Innerve'19 is live! Go check out our official website, brought together by a group of very enthusiastic web designers, t…",0,,True
1176509950287155202,2019-09-24 14:53:25,"RT @Innerveigdtuw: Innerve'19 in collaboration with SteamEdu presents AR/VR GAMEPLAY  where one can experience gaming like never before.

#…",0,,True
1176122426360418304,2019-09-23 13:13:32,"#21daysofCode #CodewithGFG  
DAY-1
Forget the snapchat streaks, let's maintain our coding streaks :)
I started prac… https://t.co/94qap0Mg6M",1,,False
1174411648003522560,2019-09-18 19:55:31,RT @_taarangana: Why should students have all the fun? https://t.co/S8Vlthhn17,0,,True
1174411523617247232,2019-09-18 19:55:01,"RT @Innerveigdtuw: All the techies are welcomed to it’s fifth edition on 11th and 12th of October. 
Hold on to your hearts and fasten your…",0,,True
1174317159771758592,2019-09-18 13:40:03,"RT @_taarangana: Nothing shakes the smiling heart
#taarangana'20 https://t.co/jUf6a7M83Q",0,,True
1174317105547812866,2019-09-18 13:39:50,"RT @Innerveigdtuw: Innerve IGDTUW 2019 is organising an AR workshop
Dates: 19-20 September 2019
Timings: 10 AM - 4 PM
Venue: Seminar Hall,…",0,,True
1174317068197539842,2019-09-18 13:39:41,"RT @Innerveigdtuw: Innerve 2019: 11th and 12th of October. This fall, join us to level up the tech space and experience the drift in the te…",0,,True
1173259750672175109,2019-09-15 15:38:17,"RT @Innerveigdtuw: This day, every year since 1968, is celebrated as the Engineers Day in India, to recognise the contribution of engineers…",0,,True
1173159407498092550,2019-09-15 08:59:33,"RT @_taarangana: ""Scientists dream about doing great things. Engineers turn their dreams into reality.""
On the birth anniversary of Shri Mo…",0,,True
1168927777162235906,2019-09-03 16:44:34,@Innerveigdtuw Amazing opportunity 🔥🔥,0,Innerveigdtuw,False
1156995604351840256,2019-08-01 18:30:22,Thanks a lot for your awesome @scrimba tutorial @KevinJPowell! https://t.co/nARaY8aNs9 #scrimba,1,,False
1136122223746375680,2019-06-05 04:07:00,"Thanks a lot for your awesome @scrimba_com course, @bobziroll! https://t.co/WCCvTYyXD9 #react",3,,False
1134693604620849152,2019-06-01 05:30:11,#igdtuw #paytm https://t.co/VtbyZLO8ym,2,,False
